CAP,Provincia,Latitudine,Longitudine
00100,Roma,41.9028,12.4964
20100,Milano,45.4642,9.19
80100,Napoli,40.8518,14.2681
90100,Palermo,38.1157,13.3615
35100,Padova,45.4064,11.8768
50100,Firenze,43.7696,11.2558
70100,Bari,41.1171,16.8719
16100,Genova,44.4056,8.9463
09100,Cagliari,39.2238,9.1217
38100,Trento,46.07,11.119
